CASEID,FIID,DATA01,DATA02,DATA03,DATA04,DATA05,DATA06,DATA07,DATA08,DATA09,DATA10,DATA11,DATA12,DATA13,DATA14,DATA15,HHAPPSTART,IQAPPSTART,HHSURVEYEXIT,IQSURVEYEXIT,Selectee,Sage,Sgender,Selname,RandomNum,HHCurrentEvent,HHCurrentEventDate,IQCurrentEvent,IQCurrentEventDate,HHEvent01,HHEventDate01,IQEvent01,IQEventDate01,HHEvent02,HHEventDate02,IQEvent02,IQEventDate02,HHEvent03,HHEventDate03,IQEvent03,IQEventDate03,HHEvent04,HHEventDate04,IQEvent04,IQEventDate04,HHEvent05,HHEventDate05,IQEvent05,IQEventDate05,INTRO_PASSIVE_GPS,INTRO1,HH1,HH2,HH2A,HH3,HH4A01,HH4A02,HH4A03,HH4A04,HH4A05,HH4A06,HH4A07,HH4A08,HH4A09,HH4A10,HH4A11,HH4A12,HH4A13,HH4A14,HH4A15,HH4A16,HH4A17,HH4A18,HH4A19,HH4A20,HH4B01,HH4B02,HH4B03,HH4B04,HH4B05,HH4B06,HH4B07,HH4B08,HH4B09,HH4B10,HH4B11,HH4B12,HH4B13,HH4B14,HH4B15,HH4B16,HH4B17,HH4B18,HH4B19,HH4B20,HH4C01,HH4C02,HH4C03,HH4C04,HH4C05,HH4C06,HH4C07,HH4C08,HH4C09,HH4C10,HH4C11,HH4C12,HH4C13,HH4C14,HH4C15,HH4C16,HH4C17,HH4C18,HH4C19,HH4C20,HH4CYEAR01,HH4CYEAR02,HH4CYEAR03,HH4CYEAR04,HH4CYEAR05,HH4CYEAR06,HH4CYEAR07,HH4CYEAR08,HH4CYEAR09,HH4CYEAR10,HH4CYEAR11,HH4CYEAR12,HH4CYEAR13,HH4CYEAR14,HH4CYEAR15,HH4CYEAR16,HH4CYEAR17,HH4CYEAR18,HH4CYEAR19,HH4CYEAR20,HH4D01,HH4D02,HH4D03,HH4D04,HH4D05,HH4D06,HH4D07,HH4D08,HH4D09,HH4D10,HH4D11,HH4D12,HH4D13,HH4D14,HH4D15,HH4D16,HH4D17,HH4D18,HH4D19,HH4D20,HH4E01,HH4E02,HH4E03,HH4E04,HH4E05,HH4E06,HH4E07,HH4E08,HH4E09,HH4E10,HH4E11,HH4E12,HH4E13,HH4E14,HH4E15,HH4E16,HH4E17,HH4E18,HH4E19,HH4E20,HH4F01,HH4F02,HH4F03,HH4F04,HH4F05,HH4F06,HH4F07,HH4F08,HH4F09,HH4F10,HH4F11,HH4F12,HH4F13,HH4F14,HH4F15,HH4F16,HH4F17,HH4F18,HH4F19,HH4F20,CONSENT1,CONSENT1_PASSIVE_GPS,CONSENT3,CONSENT4,CONSENT6,INTLANG,A01,A02A,A02B,A02C,A03,A03A,A04,A05,A06A,A06B,A06C,A06D,A06E,A06F,A06G,A06H,A06I,A06J,A06K,A06L,A06M,A06N,A09,A10,A10A,A11,B01,B02,B03,B04,B04A,B05,B05A,B06A,B06A1,B06B,B06B1,B06C,B06C1,B06E,B06E1,B06F,B06F1,B06G,B06G1,B06G2,B07,B08A,B08B,B08C,B08E,B08F,B08G,B08G1,B09A,B09BYEARS,B09BMONTHS,B09BWEEKS,B09BDAYS,B10,B11,B12,B13,B14A,B14A1,B14B,B14C,B14D,B14D1,B14E,B14F,B14G,B14H,B14I,B14I1,B15A,B15B,B15C,B15D,B15E,B15F,B15I,B15G,B15H,B15J,WP5A,WP5BHOURS,WP5BMINUTES,WP6,WP8,WP8A,WP9,WP10,EC1,EC2,EC3,EC4A,EC4B,EC4C,EC4D,EC4E,EC4F,EC4G,EC4H,EC8,EC8A,EC10,EC14,EC14A,EC15,C01,C02,C03,C04,C04A,C05,C05A,C06A,C06A1,C06B,C06B1,C06C,C06C1,C06D,C06D1,C06E,C06E1,C06F,C06F1,C06G,C06G1,C06G2,C07,C08A,C08B,C08C,C08D,C08E,C08F,C08G,C08G1,C09,C09A,C09BYEARS,C09BMONTHS,C09BWEEKS,C09BDAYS,C10,C11,C12,C13,C14A,C14A1,C14B,C14C,C14D,C14D1,C14E,C14F,C14G,C14H,C14I,C14I1,C15A,C15C,C15D,C15E,C15F,C15I,C15G,C15H,C15J,CC1,CC2,CC3,CC4,CC5,CC6,D01,D02A,D02BMONTHS,D02BWEEKS,D02BDAYS,D03A,D03A1,D03B,D03C,D03D,D03D1,D03E,D03F,D03G,D03H,D03I,D03I1,D04,D05,D06,D07,D08,D09,D10A,D10BMONTHS,D10BWEEKS,D10BDAYS,D11A,D11A1,D11B,D11C,D11D,D11D1,D11E,D11F,D11G,D11H,D11I,D11I1,D12,D13,D14,D15,D16,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,EE14,E15,E16,E17,E18,E19,E20,E21,E22,EE25,EE26,E23,EE17,F01A,F01C,F01BCIG,F01BPACK,F01BOTHER,F01DPACK,F01DPACKA,F01DOTHER,F02,F04,F04A,FA01A,FA01C,FA01BCIG,FA01BPACK,FA01BOTHER,FA01DPACK,FA01DPACKA,FA01DOTHER,FA02,FA04,FA04A,FB01A,FB01B1,FB01B2,FB01C1,FB01C2,FB02,FB04,FB04A,G01A,G01B,G01C,G01D,G01F,G01G,G01G1,G01H,G01I,G01E,G01E1,GG1,GG1A,G201A,G201B,G201C,G201D,G201F,G201G,G201G1,G201H,G201I,G201E,G201E1,GG2,GG2A,G02,G03,G02B,G03B,G02A,G03A,GG3,GG4,G04A,G04B,G04C,G04D,G04E,G04F,G04G,G04H,G04H1,G04I,G04J,G04K,G04K1,G204A,G204B,G204C,G204D,G204E,G204F,G204G,G204H,G204H1,G204I,G204J,G204K,G204K1,G06A,G06B,G06C,G06D,G06E,G06F,G06G,G206A,G206B,G206C,G206D,G206E,G206F,G206G,G306A,G306B,G306C,G306D,G306E,G306F,G306G,GG5,H01,H02A,H02B,H02C,H02D,H02E,H02F,H02G,H03,HH01A,HH01B,HH02,HH03,HH07,HH08,AA12,I02,RSAGE
991131,160102,Haryana,HR-U235,Urban,District name, ,PSU name,Census/UFS PSU number,Address,HH/Flat/Apt number,Door number,GATS-3/179/02,Head name,Head father/spouse name,Observation,Female,1/29/2026 11:28:11 AM,1/29/2026 11:34:29 AM,1/29/2026 11:33:33 AM,1/29/2026 11:58:20 AM,1,45,2,Gulshana begum,0.820861831,200,1/29/2026 11:33:27 AM,400,1/29/2026 11:58:17 AM,200,1/29/2026 11:33:27 AM,400,1/29/2026 11:58:17 AM, , , , , , , , , , , , , , , , , ,1,5,5, ,1,Gulshana begum, , , , , , , , , , , , , , , , , , , ,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , ,2, , , ,1,8,2,1,1981, , , ,1,6,1,1,2,1,1,2,1,2,2,1,2,1,2,1,4,2, ,2,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , ,2, , , , ,2, ,2, ,2, , ,2, ,1,2,2, ,2, ,2, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,2,2,2,2,2,2,2, , ,2,2,1,2,2,2,2,2,2,2,2, , ,2, , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,-7,-7,1,1, , ,2,respondent was cooperative,45
991132,160102,Haryana,HR-U980,Urban,District name, ,PSU name,Census/UFS PSU number,Address,HH/Flat/Apt number,Door number,GATS-3/279/09,Head name,Head father/spouse name,Observation,Female,1/29/2026 12:22:54 PM,1/29/2026 12:30:39 PM,1/29/2026 12:30:14 PM,1/29/2026 12:48:41 PM,1,37,2,Kulsooma begum,0.379380315,200,1/29/2026 12:30:12 PM,400,1/29/2026 12:48:39 PM,200,1/29/2026 12:30:12 PM,400,1/29/2026 12:48:39 PM, , , , , , , , , , , , , , , , , ,1,3,2,0,1,Kulsooma begum, , , , , , , , , , , , , , , , , , , ,37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , ,2, , , ,1,8,2,3,1988, , , ,2,4,1,2,2,1,1,2,2,2,2,2,2,1,2,1,4,2, ,2,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2, , , , ,2, ,1,2,2, , ,2, ,1,2,2, ,1,2,2, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,2,2,1,2,2,2,2, , ,2,2,2,2,2,2,1,2,2,2,2, , ,2, , , , , , ,2,2,2,2,2,2,2,2,2,1,2,2,2,2, ,2,2,2,2,2,2,2,1,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,-7,-7,-7,1,1, , ,2,Respondent was cooperative,37
991133,160102,Haryana,HR-U404,Urban,District name, ,PSU name,Census/UFS PSU number,Address,HH/Flat/Apt number,Door number,GATS-3/253/09,Head name,Head father/spouse name,Observation,Female,1/29/2026 12:50:26 PM,1/29/2026 12:56:07 PM,1/29/2026 12:56:01 PM,1/29/2026 1:12:16 PM,1,33,2,Ruhie Bano,0.40101498,200,1/29/2026 12:55:59 PM,400,1/29/2026 1:12:15 PM,200,1/29/2026 12:55:59 PM,400,1/29/2026 1:12:15 PM, , , , , , , , , , , , , , , , , ,1,4,2,1,1,Ruhie Bano, , , , , , , , , , , , , , , , , , , ,33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , ,2, , , ,1,8,2,4,1992, , , ,1,6,1,2,2,1,2,2,1,1,2,1,2,1,2,2,4,2, ,2,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2, , , , ,2, ,2, ,2, , ,2, ,2, ,2, ,2, ,2, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2, , ,2,2,2,2,2,2,2,2,2,2,2, , ,2, , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1, , ,2,Respondent was cooperative,33
991134,160102,Haryana,HR-U809,Urban,District name, ,PSU name,Census/UFS PSU number,Address,HH/Flat/Apt number,Door number,GATS-3/063/03,Head name,Head father/spouse name,Observation,Female,1/29/2026 1:14:06 PM,1/29/2026 1:18:57 PM,1/29/2026 1:18:41 PM,1/29/2026 1:32:34 PM,1,60,2,Shaheena Begum,0.875346448,200,1/29/2026 1:18:39 PM,400,1/29/2026 1:32:33 PM,200,1/29/2026 1:18:39 PM,400,1/29/2026 1:32:33 PM, , , , , , , , , , , , , , , , ,33.98704 74.74732166666666 1063.1 15.6,1,7,5,1,2,Shaheena Begum,Rubeena begum, , , , , , , , , , , , , , , , , , ,60,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , ,2, , , ,1,8,2,2,1965, , , ,1,6,1,1,2,1,1,2,1,1,1,1,2,1,2,1,4,2, ,2,1, , ,19, ,19, ,0, ,0, ,0, ,0, ,8, ,0, , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,10,0,1, ,2,1,2, , , , , , , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,2, , , , , , , , , , , , , , , , ,1,3,1,1,4, , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2, , , , ,2, ,2, ,2, , ,2, ,1,2,2, ,2, ,2, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2, , ,2,2,2,2,2,2,2,2,2,2,2, , ,2,2, , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,-7,-7,1,1,3, , ,respondent was cooperative,60
991135,160102,Haryana,HR-U256,Urban,District name, ,PSU name,Census/UFS PSU number,Address,HH/Flat/Apt number,Door number,GATS-3/012/05,Head name,Head father/spouse name,Observation,Female,1/29/2026 1:45:12 PM,1/29/2026 1:51:31 PM,1/29/2026 1:51:12 PM,1/29/2026 2:07:58 PM,1,46,2,Sara begum,0.943780249,200,1/29/2026 1:51:08 PM,400,1/29/2026 2:07:57 PM,200,1/29/2026 1:51:08 PM,400,1/29/2026 2:07:57 PM, , , , , , , , , , , , , , , , , ,1,4,4, ,2,Sara begum,Sabreena Manzoor, , , , , , , , , , , , , , , , , , ,46,21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , ,2, , , ,1,8,2,1,1977, , , ,1,6,1,1,2,1,2,2,1,2,2,1,2,1,2,1,4,2, ,2,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,3,2, , , , ,1,1,1,1,2, , ,2, ,1,2,2, ,2, ,2, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,1,2,2,2,2, , ,2,2,2,2,2,2,2,2,2,2,2, , ,2, , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1, , ,2,Respondent was cooperative,49
991136,160102,Haryana,HR-R019,Rural,District name,Sub-district name,PSU name,Census/UFS PSU number,Address,HH/Flat/Apt number,Door number,GATS-3/229/01,Head name,Head father/spouse name,Observation,Female,1/29/2026 2:48:57 PM,1/29/2026 2:51:42 PM,1/29/2026 2:51:37 PM,1/29/2026 3:04:05 PM,1,31,2,Rehana begum,0.549820705,200,1/29/2026 2:51:31 PM,400,1/29/2026 3:04:04 PM,200,1/29/2026 2:51:31 PM,400,1/29/2026 3:04:04 PM, , , , , , , , , , , , , , , , ,34.01247166666667 74.84222 5209.6 8.8,1,4,2,1,1,Rehana begum, , , , , , , , , , , , , , , , , , , ,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , ,2, , , ,1,8,2,1,1995, , , ,1,6,1,1,2,2,2,2,1,2,1,1,2,2,2,1,4,2, ,2,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2, , , , ,2, ,2, ,2, , ,2, ,2, ,2, ,2, ,2, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2, , ,2,2,2,2,2,2,2,2,2,2,2, , ,2, , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1, , ,2,respondent was cooperative,31
991137,160102,Haryana,HR-R708,Rural,District name,Sub-district name,PSU name,Census/UFS PSU number,Address,HH/Flat/Apt number,Door number,GATS-3/272/06,Head name,Head father/spouse name,Observation,Female,1/29/2026 3:31:51 PM,1/29/2026 3:34:04 PM,1/29/2026 3:33:25 PM,1/29/2026 3:44:08 PM,2,51,2,Fehmeeda begum,0.78557973,200,1/29/2026 3:33:23 PM,400,1/29/2026 3:44:07 PM,200,1/29/2026 3:33:23 PM,400,1/29/2026 3:44:07 PM, , , , , , , , , , , , , , , , , ,1,7,7, ,5,Fatima Begum,Fehmeeda begum,Mehjabeena bano,Tehzeema,Farhana, , , , , , , , , , , , , , , ,75,51,37,32,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2, , , , , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , , , ,2,2,2,2,2, , , , , , , , , , , , , , , ,2, , , ,1,8,2,12,1974, , , ,1,6,1,1,2,1,1,2,1,1,2,1,1,1,2,1,4,2, ,2,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , ,2, , , , ,2, ,2, ,2, , ,2, ,2, ,2, ,2, ,2, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,2,2,2,2,2,2,2, , ,2,2,2,2,2,2,2,2,2,2,2, , ,2, , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1, , , ,respondent was cooperative,51
991138,160102,Haryana,HR-R991,Rural,District name,Sub-district name,PSU name,Census/UFS PSU number,Address,HH/Flat/Apt number,Door number,GATS-3/137/03,Head name,Head father/spouse name,Observation,Female,1/30/2026 11:30:45 AM,1/30/2026 11:40:01 AM,1/30/2026 11:37:00 AM,1/30/2026 11:52:35 AM,1,45,2,Zareena Bano,0.672215704,200,1/30/2026 11:36:58 AM,400,1/30/2026 11:52:34 AM,200,1/30/2026 11:36:58 AM,400,1/30/2026 11:52:34 AM, , , , , , , , , , , , , , , , ,33.9876305 74.7519287 1597.199951171875 42.5,1,4,4, ,2,Zareena Bano,seerat zehra, , , , , , , , , , , , , , , , , , ,45,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , ,2,33.9876304 74.7519228 1597.199951171875 60.0, , ,1,8,2,3,1980, , , ,1,4,1,1,2,1,2,2,1,2,2,1,2,1,2,1,4,2, ,2,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2, , , , ,2, ,2, ,2, , ,2, ,1,2,2, ,2, ,2, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2, , ,2,2,2,2,2,2,2,2,2,2,2, , ,2, , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1, , ,2,respondent was cooperative,45
991139,160102,Haryana,HR-U177,Urban,District name, ,PSU name,Census/UFS PSU number,Address,HH/Flat/Apt number,Door number,GATS-3/235/05,Head name,Head father/spouse name,Observation,Female,1/30/2026 12:32:08 PM,1/30/2026 12:34:42 PM,1/30/2026 12:34:35 PM,1/30/2026 12:43:38 PM,2,28,2,Subeena Fatima,0.156920204,200,1/30/2026 12:34:33 PM,400,1/30/2026 12:43:37 PM,200,1/30/2026 12:34:33 PM,400,1/30/2026 12:43:37 PM, , , , , , , , , , , , , , , , ,33.987885 74.75153833333334 1071.5 9.2,1,4,4, ,2,Fatima Bano,Subeena Fatima, , , , , , , , , , , , , , , , , , ,47,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , ,2,33.988034999999996 74.75023833333333 1071.6 5.1, , ,1,8,2,4,1997, , , ,5,4,1,1,2,1,2,2,1,2,2,1,2,1,2,1,4,2, ,1,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , ,2, , , , ,2, ,2, ,2, , ,2, ,2, ,2, ,2, ,2, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2, , ,2,2,2,2,2,2,2,2,2,2,2, , ,2, , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1, , ,2,respondent was cooperative,28
991140,160102,Haryana,HR-R468,Rural,District name,Sub-district name,PSU name,Census/UFS PSU number,Address,HH/Flat/Apt number,Door number,GATS-3/294/01,Head name,Head father/spouse name,Observation,Female,1/30/2026 12:57:31 PM,1/30/2026 1:01:06 PM,1/30/2026 1:00:57 PM,1/30/2026 1:08:54 PM,2,39,2,Ruksana bano,0.033918398,200,1/30/2026 1:00:55 PM,400,1/30/2026 1:08:53 PM,200,1/30/2026 1:00:55 PM,400,1/30/2026 1:08:53 PM, , , , , , , , , , , , , , , , ,33.98715833333333 74.75363333333333 1525.7 7.6,1,7,4,0,2,Raja Bano,Ruksana bano, , , , , , , , , , , , , , , , , , ,64,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , ,2,33.98710333333334 74.75393000000001 1536.9 8.5, , ,1,8,2,3,1986, , , ,6,6,1,1,2,1,1,2,1,1,1,1,2,1,2,1,4,2, ,2,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1,2, , , , ,2, ,1,2,2, , ,2, ,1,2,2, ,2, ,2, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2, , ,2,2,2,2,2,2,2,2,2,2,2, , ,2, , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1, , ,2,respondent was cooperative,39
